novice_prompt,expert_prompt
"Fun latin dance music with trumpet, piano, and percussion for dancing at bars.","This Latin dance music piece features a lively trumpet melody accompanied by a syncopated piano rhythm and a variety of percussion instruments, including claves and cowbells, to create a high-energy atmosphere. The song's tempo and rhythmic pattern are characteristic of a traditional Latin dance style, with a strong"
"Relaxing folk music with keyboard and gentle percussion, sounds like people chatting in the background.","This is a folk music piece that features a gentle, soothing melody played on a keyboard, accompanied by a soft, mellow percussion section, with a subtle, ambient atmosphere that is reminiscent of a casual, intimate setting, such as a coffee shop or a small gathering of people chatting in the background."
"A sound clip with accordion music playing in the background, mixed with punching and glass breaking sounds, and crowd cheering, resembling a fighting video game.","This sound clip features a traditional folk music piece played on the accordion, accompanied by a soundscape of percussive sound effects, including punching and glass breaking sounds, and a crowd cheering in a fast-paced, energetic atmosphere, reminiscent of a fighting video game. The accordion melody is played in a lively"
"A fun instrumental track with piano, bass, drums, and water bottle sounds, suitable for a funny YouTube video.","This is a comedic instrumental piece that features a piano melody accompanied by a groovy bass line, steady drumming rhythm, and percussive water bottle sounds, creating a playful and humorous atmosphere. The track's lighthearted and whimsical quality makes it suitable for a YouTube video, likely"
Playing a guitar at home with slightly out-of-tune chords.,"This is an acoustic guitar piece with a home recording quality, featuring a male vocalist singing in a casual manner over a simple chord progression played on an out-of-tune acoustic guitar, with a slightly amateurish atmosphere. The song has a folk-like quality, with a focus on the singer's vocal performance"
"A slow hip hop song with emotional female singer and strong bass, suitable for a modern hit.","This is a slow tempo hip hop song that features a melancholic female vocalist singing over a repetitive, syncopated bassline, accompanied by a minimalist drum pattern and atmospheric electronic soundscapes, evoking a sense of emotional introspection. The song's mellow, melancholic atmosphere and strong bass"
"A fun vacation song with jungle drums, splashing water sounds, and exotic melodies.","This is a tropical, upbeat piece of music that features a lively rhythm section with jungle drums, accompanied by the sounds of splashing water and exotic, melodic instrumentation, evoking a carefree and joyful atmosphere. The song's instrumentation is a fusion of traditional percussion and melodic elements, with a"
"A song with a long female vocal melody, drums, bass guitar, tambourine, and wobbly synth sound.","This is a pop song that features a female vocalist singing a melodic and emotive lead, accompanied by a driving rhythm section consisting of a strong drum beat, a prominent bass guitar line, and a tambourine providing a percussive rhythmic pattern. The song also features a distinctive wobb"
"A romantic Armenian song with a male singer, piano, strings, and slow drum beat, perfect for a wedding or romantic movie in Armenia.","This is a traditional Armenian love song, characterized by a male vocalist singing a soulful melody accompanied by a piano, lush string section, and a slow, steady drum beat, evoking a sentimental and romantic atmosphere, reminiscent of a traditional Armenian wedding or a romantic scene in an Armenian film. The song"
"A slow, soothing instrumental with violin, trumpet, and ambient sounds, falls under contemporary soul music.","This contemporary soul music piece features a melancholic atmosphere, with a slow tempo, and is performed by a string section, including a solo violin, accompanied by a mellow trumpet melody and ambient soundscapes, evoking a sense of introspection and emotional depth. The instrumental arrangement is characterized by a"
"Catchy rap song with male singer, distorted sounds, and simple beat","This is a hip hop song that features a male vocalist rapping over a repetitive, syncopated drum pattern and a distorted, low-end heavy bassline, accompanied by a minimalist, atmospheric sound design. The song has a high-energy, aggressive atmosphere, with the distorted sounds and simple beat creating a"
"An emotional classical song with a male opera singer and piano, background noise like coughing and phone ringing.","This is a classical music piece that features a male opera singer's emotive vocals accompanied by a solo piano, with a melancholic and sentimental atmosphere. The audio quality is poor, with background noise of coughing and phone ringing, which adds to the intimate and live performance feel of the piece."
"A song with drums, brass, flutes, and a theremin playing the same melody, good for practicing music with an instrument.","This instrumental piece features a theremin playing the main melody accompanied by a brass section, flutes, and a driving drum beat, creating a captivating and atmospheric sound that would be well-suited for instrumental practice or a soundtrack for a science fiction film. The theremin's distinctive, wavering sound is"
A spooky instrumental with fast chimes and a scary bass drop that gives an eerie vibe.,"This is an instrumental piece that features a fast-paced chime melody accompanied by a low, ominous bass line, creating an eerie atmosphere. The music is a dark, ambient soundscape that could be used in a horror movie or a video game to set a foreboding mood."
"A song with a female singer and male singer harmonizing, with emotional and passionate vibes.","This is a vocal harmony piece that features a female vocalist singing the main melody accompanied by a male vocalist harmonizing in a counterpoint manner, creating an emotional and passionate atmosphere. The song's mood is characterized by the singers' expressive and soulful delivery, with a focus on the emotional intensity of the"
"A choir of women finishes singing on stage, maybe at a graduation, and the audience claps and cheers.","This is a choral piece performed by a female choir, likely a cappella, with a medium tempo and a steady rhythm, accompanied by a live audience's energetic applause and cheering, evoking a sense of euphoria and celebration. The piece is a devotional or inspirational song, possibly a"
"A traditional song with bamboo mallets and flute, with bird sounds in the background, maybe for a dance.","This traditional piece features a bamboo mallet instrument, likely a guqin or a similar Chinese instrument, accompanied by a flute melody, set against a serene background of bird sounds, evoking a sense of natural harmony. The piece has a lively and energetic atmosphere, suggesting it could be used in a"
"A relaxing folk instrumental with flute and guitar, perfect for unwinding.","This is a soothing instrumental piece that features a breathy flute melody accompanied by a mellow acoustic guitar accompaniment, evoking a peaceful atmosphere that is well-suited for unwinding and relaxation. The piece is a folk instrumental with a simple, yet effective, arrangement that creates a calming and serene"
"A fun and lively song with a male singer, fast tempo, acoustic guitar, and clapping beat, recorded in a home setting with people cheering and clapping in the background.","This is an upbeat folk song with a male vocalist singing in a lively manner, accompanied by a fast-paced acoustic guitar melody and a driving clapping beat, with a home recording quality that features background noise of people cheering and clapping. The song's energetic atmosphere is reminiscent of a live performance, with"
"A live acoustic guitar performance with background chatter, a bit boomy and lacking high-pitched sounds.","This live acoustic guitar performance features a solo instrument with a low quality recording, lacking high-pitched sounds and a boomy sound due to the acoustic setting, accompanied by background chatter and ambient noise. The guitar melody is being played in a folk or singer-songwriter style, with a simple and intimate atmosphere"
A calming and dreamy harp solo with a gentle melody.,"This is a solo harp piece that features a soothing and calming melody, with a gentle, lilting quality that evokes a dreamy atmosphere. The piece is characterized by the harp's soft, ethereal sound and a slow, contemplative tempo, making it suitable for a relaxing or med"
"A rock song with male singer, drums playing a simple beat, loud guitar chords, and bass, suitable for action movie credits.","This high-energy rock song features a male vocalist singing with a strong, aggressive tone, accompanied by a driving rhythm section consisting of a steady drum beat, prominent bass line, and crunching electric guitar chords, evoking a sense of intensity and energy suitable for an action movie credits sequence. The song's"
"A rock song with a loud guitar solo played with heavy distortion, perfect for a thrilling car chase scene in a movie.","This is a high-energy rock music piece that features a male vocalist singing in a powerful, aggressive manner over a driving rhythm section, with a prominent electric guitar playing a loud, distorted solo that is reminiscent of a thrilling car chase scene in a movie. The song's aggressive atmosphere and fast-paced tempo,"
A calming melody played on a digital keyboard with relaxing chords and a fuzzy sound.,"This is a new age music piece that features a soothing melody played on a digital keyboard with a calming atmosphere, accompanied by a lush, ambient sound and a fuzzy, atmospheric quality. The piece is characterized by a repetitive, calming chord progression and a relaxing, atmospheric sound that is reminiscent of a soundscape"
A simple pop song with a female singer that could be used in a classroom.,"This is a pop song that features a female vocalist singing a catchy melody over a simple, upbeat accompaniment of acoustic guitar chords and a steady drum beat, with a tempo that is fast and energetic. The song's cheerful and optimistic atmosphere makes it suitable for a classroom setting, where it could be"
"A calming piano and clarinet performance, like a chill day at the beach.","This is a soothing instrumental piece that features a calming piano accompaniment and a melancholic clarinet melody, evoking a serene atmosphere reminiscent of a tranquil day at the beach. The piece is a slow and contemplative performance, with a focus on the expressive and emotive qualities of the clarinet"
A man talks before a tutorial video with wooden clicking sound from three tone wood blocks.,"This is an instrumental piece that features a male voiceover accompanied by a percussive sound effect of three tone wood blocks, creating a wooden clicking sound. The audio quality is poor, with a low-fidelity recording that is reminiscent of a DIY or amateur production."
"Happy cartoon-style song with singers harmonizing, no instruments, sounds like a funny pop song spoof.","This is a children's pop song with a cartoon-like quality, featuring a cheerful melody sung by multiple vocalists in harmony, accompanied by a catchy and upbeat rhythm. The song has a playful and humorous atmosphere, with a style reminiscent of a pop song spoof, likely used in an animated children's TV"
"A spooky sound with heartbeats, wind, and eerie synth strings, like in a scary movie.","This is a sound design piece that features a combination of heartbeats, wind sounds, and eerie synth strings to create a foreboding atmosphere, reminiscent of a horror movie soundtrack. The piece is characterized by a slow tempo and a focus on ambient, atmospheric soundscapes, with the heartbe"
"A romantic instrumental song with Indian music influences, featuring strings, flute, and percussion, similar to music from India.","This is an instrumental piece that features a melodic flute melody accompanied by a lush string section, with a rhythmic accompaniment provided by a variety of Indian percussion instruments, including the tabla and mridangam. The piece has a romantic and sentimental atmosphere, characteristic of traditional Indian classical music,"
"A soothing nighttime song with nature sounds like crickets and frogs, mixed with a gentle, mellow piano melody.","This ambient piece features a gentle piano melody accompanied by a soundscape of crickets and frogs, evoking a serene atmosphere reminiscent of a peaceful nighttime setting. The soothing soundscape is a blend of acoustic piano and nature sounds, creating a calming and relaxing ambiance."
"A cool electric guitar demo showing different sounds, good for making beats.","This is an instrumental electric guitar demo that features a variety of sounds and techniques, including sustained chords, percussive strumming, and effects processing, making it a useful sample for music producers and beatmakers. The demo showcases a range of tonal colors and textures, from clean and crisp to"
"A cheerful brass music piece with trombone and tuba, switching to a lively part, suitable for a live show.","This is a lively brass instrumental piece that features a trombone and tuba as the main melodic instruments, with a dynamic and energetic performance that is well-suited for a live show, likely a jazz or brass band setting. The piece has a clear structure, with a lively and upbeat section that"
"A spooky video game song with eerie sounds moving around, high-pitched melody, and digital drums.","This is an electronic music piece with a dark and ominous atmosphere, featuring a high-pitched melody played on a digital instrument, accompanied by eerie sound effects and a driving digital drum pattern that creates a sense of tension and foreboding. The song's sound design is characterized by a focus on atmospheric sound"
"A cheerful folk song with clarinet, tambourine, and hand percussion, perfect for a party.","This is a folk music piece that features a clarinet playing the main melody, accompanied by a tambourine and hand percussion, creating a lively and energetic atmosphere, reminiscent of a traditional folk dance. The tempo is medium with a strong rhythmic pattern, making it well-suited for a party or"
"A soothing instrumental song with a fast ukulele strumming, giving off a relaxed vibe despite the poor audio quality.","This is a melodic instrumental piece that features a fast-paced ukulele strumming pattern, accompanied by a steady rhythmic accompaniment, despite the low audio quality, the music has a soothing and relaxing atmosphere. The ukulele melody is played with a clear and crisp tone, while"
A simple instrumental song played on a French horn with ascending and descending notes.,"This is a melodic instrumental piece that features a solo French horn performance, with a focus on ascending and descending melodic lines that evoke a sense of elegance and refinement. The piece is a classical music composition, likely belonging to the romantic period, with a simple and soothing atmosphere that could be used as"
"A cool DJ is scratching over a beat with drums, strings, and bass in a simple recording.","This is a hip hop track that features a DJ scratching over a rhythmic beat, accompanied by a string section and a strong bass line, with a simple and low quality recording. The DJ's scratching is the main focus of the track, with the drums, strings, and bass providing a steady and"
"A fun children's song with happy vocals, groovy bass, and playful instrument sounds.","This children's song features a cheerful vocal performance accompanied by a lively bass line, a variety of playful percussion instruments, and a melodic accompaniment from a xylophone or a similar instrument, creating a joyful atmosphere. The song's instrumentation and tempo are reminiscent of a children's music piece from"
"A sad rock song with a sleepy singer, keyboard, guitar, and drums, suitable for a dramatic TV show.","This melancholic rock ballad features a vocalist with a subdued, emotive delivery, accompanied by a melancholic piano melody, a simple electric guitar accompaniment, and a steady drum beat, evoking a somber atmosphere suitable for a dramatic TV show. The song's mellow tempo and intros"
"A fun children's song played on a small device with male vocals, bells, and clapping, creating a joyful and happy vibe.","This children's song features a male vocalist singing a catchy melody accompanied by a xylophone-like instrument, bells, and clapping percussion, creating a joyful and happy atmosphere. The audio quality is amateur and the recording is likely from a toy or a children's device, with a simple and repetitive melody"
"An adventurous video game song with electronic sounds, drums, and guitar, with an experimental vibe.","This electronic music piece features a male vocalist singing in a high-pitched, energetic manner over a driving rhythm section that includes a fast-paced electronic drum beat, a prominent bass line, and a distorted electric guitar melody, while also incorporating other electronic sounds to create an experimental and adventurous atmosphere. The song's"
A gentle pop song for weddings with a male singer and acoustic guitar.,"This is a sentimental pop ballad that features a male vocalist singing over a simple, yet emotive melody played on an acoustic guitar, accompanied by a gentle, steady drumming rhythm and a soft, mellow bass line. The song has a romantic, euphoric atmosphere, making it suitable for"
Passionate harp and string music played live.,"This is a classical music piece performed live with a harp as the main melodic instrument, accompanied by a string section playing a lush, emotive harmony. The piece has a sentimental and romantic atmosphere, with a focus on the harp's expressive and soaring melody."
"A grand opera song with male singer, orchestra, and dramatic feel, like a soundtrack from an old movie.","This is a grand opera piece, characterized by a male vocalist singing a dramatic melody accompanied by a lush, full orchestra, with a rich, sweeping sound that evokes a sense of grandeur and emotional intensity, reminiscent of a classic film soundtrack from a bygone era. The piece features a dramatic,"
"Exciting rock song with male singer, drums, bass, and electric guitar.","This high-energy rock music piece features a male vocalist singing in a powerful, aggressive manner over a driving rhythm section consisting of a fast-paced drum beat and a prominent bass line, accompanied by a distorted electric guitar playing a catchy, energetic melody. The song has a strong, energetic atmosphere, with a tempo"
A simple harmonica tune with laughter in the background.,"This is a folk music piece that features a harmonica playing a simple melody, accompanied by a lively and cheerful atmosphere, with the sound of children's laughter in the background, creating a joyful and carefree mood. The audio quality is amateur and the recording is of a live performance, with the harmon"
"A pop song cover with various instruments playing along a steady beat, but with poor audio quality.","This is a pop song cover that features a male vocalist singing over a driving rhythm section, with a prominent bass line, syncopated snare, and a mix of acoustic and electric guitar chords, accompanied by a variety of other instruments, including a piano and a brass section, all playing along to"
"A lively Scottish instrumental music played on bagpipes, perfect for a historical Scottish drama.","This traditional Scottish instrumental piece features a lively bagpipe melody accompanied by a rhythmic drum beat and a lively percussion section, evoking a sense of Scottish heritage and cultural authenticity. The music is a classic example of a traditional Scottish folk tune, with the bagpipe's distinctive sound and the energetic rhythm creating"
"Upbeat pop music with catchy melody, retro vibe, and fun instruments like drums and guitar.","This is a catchy pop song with a retro aesthetic, featuring a driving beat provided by a prominent drum pattern and a melodic electric guitar accompaniment, with a tempo that is moderately fast and energetic. The song's instrumentation and production style are reminiscent of classic pop music from the 1980s"
A simple guitar playing exercise for learning guitar.,"This is a simple instrumental piece that features a solo acoustic guitar playing a repetitive, slow-paced melody with a steady strumming pattern, accompanied by a steady, pulsing bass line and a simple drum beat, creating a soothing and calming atmosphere. The piece is a slow, folk-like instrumental that is"
"Fast-paced, enchanting instrumental music played on a glass harp or angelic organ.","This is an instrumental piece belonging to the classical music genre, featuring a glass harp or angelic organ as the primary melodic instrument, with a fast-paced tempo and enchanting atmosphere. The piece is characterized by a bright, airy sound and a sense of euphony, evoking a feeling"
"Latin reggaeton song with male rapper, soft drumbeat, and game-like sounds, suitable for a barbershop","This Latin reggaeton track features a male vocalist rapping over a syncopated drum pattern, accompanied by a prominent bassline and a variety of game-like sound effects, including 8-bit chiptune and video game sound effects, creating an energetic and playful atmosphere. The song's tempo and"
"A lively R&B song with a male singer over fun beats and melodies, sounding energetic and groovy, like it's reaching its end.","This is an R&B/soul music piece that features a male vocalist singing melodically and in a sensual manner over a driving electronic drum beat, punchy bass line, and syncopated hi hats, with a strong emphasis on the ""4 on the floor"" kick pattern, creating an energetic and"
"A mysterious and suspenseful guitar tune with intense vibe, played on a single speaker.","This is a solo guitar instrumental piece that features a single speaker recording, with a focus on a single electric guitar playing a repetitive, atmospheric melody that evokes a sense of tension and suspense. The piece has a minimalist, ambient quality, with a focus on the guitar's timbre and the speaker's"
"A man plays a cool guitar solo with special effects, only guitar music with poor audio quality.","This is an instrumental guitar piece that features a male guitarist playing a solo with a variety of effects, including distortion and overdrive, over a simple, repetitive chord progression. The poor audio quality is due to the low recording quality, with a muffled and reverberant sound that is characteristic of a"
"Fun traditional song with male vocals, shiny percussion, and strings, giving off happy vibes.","This traditional folk song features a male vocalist singing the main melody, accompanied by a lush string section and a variety of percussion instruments, including a prominent snare drum and tambourine, which create a lively and energetic atmosphere. The song's joyful and carefree mood is further enhanced by the use of"
A simple banjo tune played in a country style.,"This is a country music piece that features a banjo as the main melodic instrument, playing a simple and catchy tune with a strong emphasis on the acoustic banjo's percussive, twangy sound. The piece has a folk-like quality, with a straightforward, unadorned melody"
A lesson on playing drums with a quick drum fill and a guy explaining how to play double stroke rolls on the drums.,"This instructional drum piece features a male voice explaining the technique of double stroke rolls, accompanied by a drum fill that showcases a quick, syncopated rhythmic pattern, with a focus on the snare and bass drum. The tempo is fast-paced, with a strong emphasis on the rhythmic accuracy and"
"Relaxing music with whale sounds and waves, good for meditation.","This ambient music piece features a soothing soundscape of whale vocalizations and ocean waves, accompanied by a minimalist piano melody and a steady, slow-paced drum pattern, creating a calming atmosphere that is well-suited for meditation and relaxation. The audio quality is of high fidelity, with a clear and crisp sound"
"Relaxing reggae song with drums, guitar, bass, organ, and female vocals, perfect for a chill vibe at home.","This is a mellow reggae piece that features a flat, soulful female vocal singing over a punchy 808 bass, punchy snare, shimmering hi hats, and a groovy piano chord progression, with a focus on the organ's atmospheric sound, creating a soothing atmosphere. The"
A slow tune of tuning a ukulele.,"This is an instrumental piece that features a solo ukulele performance with a slow tempo, showcasing the instrument's warm and intimate sound. The piece has a soothing and calming atmosphere, with the ukulele's gentle strumming and tuning sounds creating a relaxing and peaceful ambiance."
"Passionate Indian song with singer and tabla, live performance with low-quality audio.","This is a live performance of a traditional Indian folk song, featuring a vocalist accompanied by a tabla player, with a strong emphasis on the vocalist's emotive delivery and the tabla's percussive rhythmic pattern, and the audio quality is of low fidelity. The song has a passionate and energetic atmosphere"
A lively bagpipe music played during a parade in a noisy outdoor setting.,"This lively bagpipe music features a traditional Scottish melody played by a solo bagpiper, accompanied by a rhythmic drum beat and a lively brass section, evoking a festive atmosphere that is characteristic of a parade in a noisy outdoor setting. The music is a classic example of a traditional Scottish folk piece"
"A soulful song with a female singer, strings, emotional melody, and clapping audience.","This is a soulful ballad that features a female vocalist singing a melancholic melody accompanied by a lush string section, with a live audience's clapping and cheering in the background, evoking a sense of emotional intensity. The song's atmospheric sound is characterized by a slow tempo, soaring strings,"
"A harmonica melody with nature sounds like birds and dogs, recorded outside.","This is an acoustic folk piece that features a harmonica melody accompanied by a soundscape of ambient nature sounds, including birdsong and canine vocalizations, recorded in an outdoor setting. The piece has a rustic, earthy quality and could be used as background music for a nature documentary or a scene in"
"A scary movie trailer sound with heartbeat, screams, and eerie piano notes, perfect for making beats or scary games.","This is a sound design piece that features a heartbeat sound effect, screams, and a haunting piano melody, creating a foreboding atmosphere that is well-suited for a scary movie trailer or a horror game soundtrack. The piece is a perfect example of a sound effect-driven track, with a focus on"
A noisy recording with loud cowbell and metallic sounds.,"This is a noisy, high-energy recording that features a prominent cowbell sound and metallic percussion, likely used to create a driving rhythm in a Latin or Afro-Cuban music piece. The audio quality is poor, with a loud and boomy sound, suggesting a live recording or a low-fidelity"
"A video of an electric guitar tuning in the key of D sharp, useful for creating music samples or virtual guitar sounds.","This is an instrumental recording of an electric guitar tuning in the key of D sharp, featuring a solo guitar performance with a focus on the instrument's timbre and resonance, suitable for sound design and sample creation. The audio quality is high, with a clear and detailed representation of the guitar's tone and"
"Chill country song with a guy singing, electric guitar, and drums, good for a movie about overcoming challenges.","This is a country ballad that features a male vocalist singing a heartfelt melody over a simple, yet emotive, electric guitar accompaniment and a steady drum beat, accompanied by a walking bass line that underscores the song's themes of perseverance and overcoming adversity. The song's mellow, acoustic-driven"
"Fast rhythmic music with tabla and metallic rattle, sounds of people talking and cheering, joyful atmosphere, like a live music competition.","This is an energetic and fast-paced folk music piece, characterized by the prominent use of the tabla and metallic rattle percussion, accompanied by the sounds of a live audience cheering and talking, evoking a joyful and lively atmosphere, reminiscent of a music competition or a festive celebration. The tempo is fast,"
"A fast electronic song with cool beats and digital sounds, perfect for dancing and feeling energized.","This high-energy electronic dance track features a driving beat, synthesized percussion, and a prominent digital sound, with a tempo that is fast-paced and energetic, making it well-suited for a dance floor or a high-intensity workout. The song's sonic palette is characterized by a prominent kick drum, sync"
"Upbeat Spanish pop song with female singer, guitar, tambourine, and congas, performed outdoors with crowd sounds.","This is a high-energy Latin pop song that features a female vocalist singing in a lively and energetic manner, accompanied by a strumming acoustic guitar, a tambourine, and congas, with a strong rhythmic beat and a festive atmosphere, as if it's being performed live outdoors in a"
"A rock cover with groovy bass and drums, passionate electric guitar melody.","This is a rock music piece that features a passionate electric guitar melody accompanied by a strong, syncopated bass line and a driving drum beat, creating an energetic and dynamic atmosphere. The song is a cover of a classic rock song, with the electric guitar playing a melodic lead and the rhythm section"
"Music like in a fun cartoon, with clarinet, drums, and piano, lively vibe","This is a lively cartoon music piece that features a clarinet playing the main melody, accompanied by a lively drum beat and a piano accompaniment, with a tempo that is fast-paced and energetic. The music has a cheerful and playful atmosphere, with a nostalgic feel that is reminiscent of classic cartoon sound"
"A mysterious chamber music piece with harp, flute, violin, viola, and cello, like a wave, for an adventure movie scene at sea.","This is a chamber music piece that features a combination of harp, flute, violin, viola, and cello, with a soothing and atmospheric sound that evokes a sense of movement and fluidity, like a wave, and would be well-suited for an adventure movie scene set at sea"
"A dance battle or underground club song with electronic drums, bass sounds, and reverberant pad.","This is an electronic dance music piece, specifically a club track, that features a driving beat provided by electronic drum machines, a prominent bassline, and a reverberant synth pad that creates a sense of depth and atmosphere. The song's energetic and high-energy tempo, along with the prominent bass and"
A fast mandolin melody that could be heard live at a bar.,"This is a lively folk music piece, featuring a fast-paced mandolin melody accompanied by a steady acoustic guitar strumming rhythm, a walking bass line, and a driving drum beat, evoking a high-energy atmosphere that is well-suited for a live performance at a bar. The piece has a"
"A soothing melody with strings and flute, perfect for a nature adventure movie.","This is a classical music piece that features a soothing melody played by a string section, accompanied by a flute solo, evoking a serene atmosphere that would be fitting for a nature adventure movie. The piece has a gentle, lilting quality, with a slow tempo and a focus on the emotional, expressive"
"A catchy hip hop song with male singer and backup vocals, piano, drums, and clapping sounds, suitable for a romantic setting.","This hip hop song features a male vocalist singing the main melody accompanied by a catchy piano melody, a steady drum beat, and clapping sounds, with a sensual and intimate atmosphere that would be suitable for a romantic setting. The song's tempo is moderate, with a syncopated rhythm and a repetitive"
"A lively traditional song with drum, guitar, bagpipes, and male speaker at a concert.","This traditional folk song features a male vocalist accompanied by a lively ensemble of instruments, including a driving drum beat, a melodic guitar accompaniment, and a distinctive bagpipes melody, evoking a rousing atmosphere. The song's energetic tempo and lively instrumentation would be well-suited for a live"
"A man talks followed by tapping on a guitar, which sounds noisy and poor quality.","This is an acoustic guitar piece with a male vocalist speaking in the beginning, followed by a percussive guitar sound, which is a characteristic of a slide guitar or a guitar played with a slide, and the poor audio quality is due to the low recording quality. The piece has a folk or blues"
"A song with short guitar melodies, slow drum rhythm, piano notes, and string background music, perfect for playing at home.","This is a slow and soothing instrumental piece that features a minimalist guitar melody, a steady drum rhythm, and a lush piano accompaniment, set against a backdrop of a string section, creating a calming atmosphere that is well-suited for a relaxing home setting. The music's intimate and subdued quality makes"
"Old Bollywood song with sitar and strings, dancing rhythm","This is a classic Bollywood song from the Indian film industry, featuring a sitar as the primary melodic instrument, accompanied by a lush string section, and a danceable rhythm that is characteristic of traditional Indian classical music. The song's tempo is medium-paced, with a strong emphasis on the tabla and"
"Cheerful classical music with piano and woodwind instruments, along with shoe tapping sound, played from an old speaker.","This is a classical music piece that features a piano accompaniment with a woodwind melody, accompanied by a shoe tapping sound effect, played on a low-fidelity speaker, evoking a nostalgic and cheerful atmosphere. The piece is reminiscent of a bygone era, with a charming and old-world quality"
"Catchy pop song with boy band vocals, fast hi-hats, and deep bass that teens would enjoy.","This is a pop song that features a boy band's melodic vocals, a driving rhythm section with fast-paced hi-hats, and a prominent deep bass line, creating an energetic and youthful atmosphere that would be appealing to a teenage audience. The song's tempo and instrumentation are reminiscent of a danceable"
"A fun pop song with distant female vocals, disco beat, and funky bass, suitable for a club.","This is a disco-infused pop song that features a distant, filtered female vocal performance accompanied by a driving ""4 on the floor"" kick pattern, syncopated hi hats, and a prominent, funky bassline that would be well-suited for a high-energy club setting. The song's energetic"
"A music piece with trumpet, clarinet, and horn playing in a school concert.","This is a classical music piece, specifically a brass band performance, featuring a brass section consisting of a trumpet, clarinet, and horn, with a medium tempo and a lively atmosphere, evoking a sense of school concert or a traditional brass band performance. The piece is a traditional brass band arrangement,"
"An easygoing pop rock song with female singer, guitars, drums, suitable for commercials","This is a pop rock song that features a female vocalist singing a catchy melody over a driving rhythm section, with a prominent electric guitar playing chords and a steady drum beat, creating a lively and upbeat atmosphere. The song's energetic and carefree quality makes it suitable for use in commercials, particularly for products"
"A lively rock song with male singer, electric guitar, and energetic drum sounds.","This high-energy rock piece features a male vocalist singing with a strong, raspy tone, accompanied by a driving electric guitar melody and a pounding drum beat with a prominent snare and kick drum, creating an aggressive and energetic atmosphere. The song's tempo is fast-paced, with a strong emphasis on the"
"A spooky sound effect recording, like something from a mobile game.","This is an ambient sound effect recording that features a haunting atmosphere, with a focus on eerie sound design and an otherworldly ambiance, evoking a sense of foreboding and unease. The recording is a soundscape of atmospheric sound effects, including creaking doors, howling wind,"
"Upbeat hip-hop song with fast tempo, synthesizer, and catchy rhythm, perfect for dancing.","This high-energy hip-hop track features a fast-paced tempo, a driving synthesizer melody, and a catchy rhythmic pattern, with a prominent kick drum and snare, accompanied by a syncopated hi-hat pattern and a prominent bassline, making it an ideal choice for a dance floor."
