ytid,start_s,end_s,audioset_positive_labels,aspect_list,caption,author_id,is_balanced_subset,is_audioset_eval,novice
-5FoeegAgvU,230,240,"/m/04rlf,/m/07rrh0c","['brass', 'double bass', 'strings', 'instrumental', 'no voice', 'percussion']",The instrumental music features an ensemble that resembles the orchestra. The melody is being played by a brass section while strings provide harmonic accompaniment. At the end of the music excerpt one can hear a double bass playing a long note and then a percussive noise.,2,False,True,"This orchestral music composition features a full ensemble of brass and string instruments. The piece crescendos towards the end with a deep bass note and a striking percussion sound, creating a grand and powerful conclusion."
-5f6hjZf9Yw,30,40,"/m/02w4v,/m/04rlf","['folk music', 'rubab', 'male voice', 'slow tempo', 'emotional song', 'low quality audio', 'violin', 'accordion']",This folk song features a male voice singing the main melody in an emotional mood. This is accompanied by an accordion playing fills in the background. A violin plays a droning melody. There is no percussion in this song. This song can be played at a Central Asian classical concert.,0,False,False,"A Central Asian folk song with a male vocalist delivering an emotional performance. The melody is carried by an accordion and violin, creating an authentic and traditional feel. This piece would be well-suited for a concert showcasing Central Asian music traditions."
-5xOcMJpTUk,70,80,"/m/018vs,/m/0342h,/m/042v_gx,/m/04rlf,/m/04szw,/m/09x0r,/m/0fx80y","['guitarist', 'male talking', 'twang sounds', 'mediocre audio quality', 'guitar string tones', 'guitar technique', 'fretboard sounds', 'guitar demo', 'online guitar lessons', 'home music video', 'youtube tutorial', 'bas]d audio quality', 'humming noise', 'energetic', 'passionate', 'spirited okay', 'strong voice', 'ambient room noises']","A male guitarist plays the guitar and speaks about technique in this online video tutorial. The male voice is strong and commanding, along with guitar string twang sounds, clearly demonstrating the technique. The audio quality is mediocre.",1,False,False,This video showcases a guitar tutorial where a male instructor demonstrates various advanced techniques with decent audio quality.
-6HBGg1cAI0,30,40,"/m/02p0sh1,/m/04rlf,/m/06j64v","['folk song', 'traditional song', 'middle eastern song', 'male voice', 'darbuka', 'oud instrument', 'moderate tempo', 'middle eastern instruments']",This middle eastern folk song features a male voice. This is accompanied by a string instrument called the oud playing the melody in between lines. A variety of middle-eastern percussion instruments are played in the background. A tambourine is played on every count. A darbuka plays a simple beat. This folk song can be played in a movie scene set in a Moroccan market.,0,False,True,"A traditional Middle Eastern folk composition, utilizing the oud, tambourine, and darbuka instruments, evoking the ambiance of a bustling Moroccan marketplace."
-6QGvxvaTkI,280,290,"/m/01p970,/m/026t6,/m/0l14md","['low quality', 'echoing male vocal', 'acoustic strings melody', 'crowd chattering', 'wooden percussions', 'plucked strings melody', 'live performance', 'traditional', 'noisy', 'passionate']","The low quality recording features a live performance of a traditional song and it consists of an echoing male vocal singing over acoustic strings melody, plucked strings melody and wooden percussion. There is a crowd chattering noise in the background. The recording is a bit noisy and it sounds passionate.",4,False,False,"This traditional folk song is performed live, featuring a male vocalist singing in traditional style. The accompaniment includes acoustic string instruments such as a guitar and violin, as well as wooden percussion instruments like a tambourine. The performance captures the ambiance of a lively crowd, adding to the authentic and immersive experience of the music."
-6pcgdLfb_A,110,120,"/m/04rlf,/t/dd00035","['r&b', 'soul', 'male vocal', 'melodic singing', 'strings sample', 'strong bass', 'electronic drums', 'sensual', 'groovy', 'urban']",This is an R&B/soul music piece. There is a male vocalist singing melodically and in a sensual manner over multiple tracks. The melody of the beat is provided by a string sample. There is a strong bass sound in the piece. The rhythm is provided by a groovy electronic drum beat. There is an urban feel to this piece. It could be used in the soundtrack of a TV series where two characters are sharing intimate moments.,9,False,False,"Genre: R&B/soul  
Vocalist: Male  
Instruments: String sample, strong bass line, groovy electronic drum beat  
Setting: Suitable for an intimate atmosphere"
-7B9tPuIP-w,450,460,"/m/0155w,/m/04rlf,/m/07sr1lc","['male vocalist', 'medium fast tempo', 'monologue', 'background music', 'hit songs', 'retro', 'narrator', 'narration', 'documentary', 'animated singing', 'enthusiastic drumming', 'cymbal ride', 'electric guitar', 'groovy bass lines', 'rock and rock', 'classic rock and rock', 'muffled', 'blues', 'rock hits', 'vocalisation']","A male voice narrates a monologue to the rhythm of a song in the background. The song is fast tempo with enthusiastic drumming, groovy bass lines,cymbal ride, keyboard accompaniment ,electric guitar and animated vocals. The song plays softly  in the background as the narrator speaks and burgeons when he stops. The song is a classic Rock and Roll and the narration is a Documentary.",7,False,True,"This is a rock and roll music piece characterized by a fast-paced drumming rhythm and energetic electric guitar playing. The vocals are delivered with enthusiasm, adding to the dynamic feel of the song. The overall sound is balanced and not too overpowering, making it suitable for playing underneath a storytelling segment in a documentary."
-7wUQP6G5EQ,30,40,"/m/02cjck,/m/02w4v,/m/04rlf","['low quality', 'noisy', 'renaissance music', 'soft wooden percussions', 'mellow harmonized flute melody', 'mellow', 'soulful', 'passionate', 'emotional', 'vintage']","The low quality recording features a renaissance music that consists of soft wooden percussion and mellow, harmonized flute melody playing on top of it. The recording is a bit noisy, but it also sounds soulful, mellow, passionate, emotional and vintage - It really puts the listener in a period of renaissance.",4,False,False,"A soulful Renaissance music piece featuring wooden percussion and a flute melody, evoking a nostalgic and emotional atmosphere."
-88me9bBzrk,30,40,"/m/015vgc,/m/04rlf","['hindi', 'tablas', 'shrutibox', 'bansuri flute', 'medium tempo']",Someone is playing a fast melody on a low bansuri flute along with someone playing tablas and a shrutibox in the background. This song may be playing at a live performance.,6,False,True,"This is a lively instrumental piece showcasing a flute as the main melodic instrument, accompanied by a rhythmic drum beat and harmonium playing the harmonies. The composition exudes a vibrant atmosphere, reminiscent of a captivating live performance."
-8C-gydUbR8,30,40,"/m/04rlf,/t/dd00003,/t/dd00004,/t/dd00005","['gospel music', 'poor sound quality', 'children choir', 'medium tempo', 'black gospel music', 'distorted sound quality', 'meditative', 'devotional', 'inspiring', 'motivational', 'christian contemporary music', 'steady drumming rhythm', 'groovy bass line', 'keyboard harmony', 'retro christian songs']","A children’s choir sings this devotional melody. The song is medium tempo with a steady bass line, drumming rhythm and clapping percussion. The song is black gospel choral music played in front of a live congregation. The audio quality is very poor.",1,False,True,"An ensemble of children vocalists sings this gospel choir piece. The arrangement includes a steady bass line, rhythmic drumming, and clapping percussion. The performance captures the essence of traditional black gospel choral music in a live congregation setting, characterized by its devotional and spiritual tone."
-8cgbhIR_pw,30,40,"/m/042v_gx,/m/04rlf,/m/04szw,/m/06w87,/m/07s0s5r,/m/0fx80y,/t/dd00034","['low quality', 'passionate muddy male vocal', 'arpeggiated acoustic guitar melody', 'noisy', 'muddy', 'cover', 'emotional', 'ballad', 'raw', 'messy']","The low quality recording features a cover of a ballad song that consists of passionate, muddy male vocal singing over arpeggiated acoustic guitar melody. It sounds noisy, muddy and messy, as the frequencies are clashing, but it is also emotional and raw.",4,False,True,"An acoustic folk song performed with raw emotion, featuring intricate fingerpicking on the guitar and heartfelt male vocals. The recording quality is low, adding a raw and authentic feel to the performance. The song evokes a sense of melancholy and introspection."
-BHPu-dPmWQ,30,40,"/m/04rlf,/t/dd00032","['intimate wide mixed vocals', 'synth lead melody', 'punchy kick', 'noisy snare', 'claps', 'groovy bass guitar', 'tinny wide hi hats', 'short snare roll', 'alternative/indie', 'electric guitar melody', 'easygoing', 'melancholic']","The Alternative/Indie song features an intimate, widely spread, mixed vocals singing over noisy snare, punchy kick, wide tinny hi hats, electric guitar melody, synth lead melody and groovy bass guitar. At the end of the loop there is a short snare roll and some claps. It sounds easygoing and melancholic thanks to those vocals.",4,False,True,"This indie music piece features a blend of male and female vocals singing in harmony. The male and female vocals create a unique texture. The main melody is played on an acoustic guitar. The bass guitar plays a groovy bassline. The tempo is medium with steady drumming. The overall mood of the song is melancholic, evoking a sense of nostalgia and reflection."
-BIMKnb3tlo,410,420,"/m/01p970,/m/026t6,/m/0l14md","['hindustani classical music', 'harmonium', 'bansuri', 'tabla', 'electronic drums', 'upbeat', 'joyful']","This is a Hindustani classical music piece. There is a harmonium playing the main tune. A bansuri joins in to play, supporting a melody every now and then. The rhythmic background consists of the tabla percussion and the electronic drums. The atmosphere of the piece is joyful.",9,False,False,"A joyful Indian classical music piece featuring the harmonium playing the melody, accompanied by a flute, tabla, and electronic drums."
-Bu7YaslRW0,30,40,"/m/025td0t,/m/02cjck,/m/04rlf","['atmospheric', 'cinematic', 'calming', 'flute/string/brass sound', 'cymbals', 'synth pad drone', 'slow tempo']",A synth pad is playing a drone sound in the lower mid range. Cymbals are creating atmosphere while a flute/string/brass sound is playing a melody. The whole recording is full of reverb. This song may be playing in a forest documentary.,6,False,True,"A piece featuring a serene woodland atmosphere, incorporating the delicate tones of a flute with subtle cymbal accents. The composition is characterized by a generous use of echo effects, creating a sense of depth and tranquility within the music."
-ByoSbgzr4M,0,10,"/m/01glhc,/m/04rlf","['instrumental', 'electric guitar', 'stringed instrument', 'vibrato', 'sonic power', 'amplified guitar', 'fast tempo', 'rapid', 'vigorous', 'dexterous', 'skilled', 'practice', 'intense', 'rock', 'hard rock', 'home recording']","This clip is an electronic guitar instrumental. The tempo is fast with a vigorous, lively electric guitar lead without any instrumentation. The music is rapid,controlled, intense and vigorous with immense control and dexterity with the instrument.",7,False,True,This is a high-tempo instrumental guitar piece showcasing fast and technically proficient playing with great control and intensity.
-CUp_Tmg2Y0,30,40,"/m/01qbl,/m/026t6,/m/02hnl,/m/03qtq,/m/03t3fj,/m/0bm02,/m/0l14md","['low quality', 'mono', 'noisy', 'drums solo', 'double pedal kick', 'punchy snare', 'shimmering cymbals', 'boomy toms', 'energetic', 'manic']","The low quality recording features a drum solo that consists of a double pedal kick, punchy snare, shimmering cymbals and boomy toms. It sounds energetic and manic, thanks to that kick pattern. The recording is mono and noisy.",4,False,False,"A high-energy drum solo showcasing rapid kick drum patterns and dynamic cymbal crashes, captured in a raw and unpolished recording."
-DeAdhYKbGE,290,300,"/m/0192l,/m/085jw","['bagpipe ensemble', 'unison melody', 'drone', 'quick melody', 'trills', 'ornamentation']","A bagpipe ensemble playing a quick melody in unison, employing trills to ornament it.",8,False,False,A traditional Scottish music piece featuring a ensemble of bagpipes playing a lively melody with trills for embellishment.
-Dtir74TiUM,40,50,"/m/01hgjl,/m/0283d,/m/04rlf,/m/07qb_dv","['drum & bass', 'electronic dance music', 'hollering sample', 'scratching', 'synth', 'electronic drums', 'upbeat', 'energetic', 'eerie']",This is a drum & bass music piece. There is a constantly repeating hollering sample accompanied by rapid turntable scratching. A synth sound can be heard playing an ominous tune. The rhythmic background consists of a fast-tempo electronic drum beat. The atmosphere is energetic. This piece could be used in the soundtrack of a car racing game. It could also be playing at nightclubs during early-2000s themed parties.,9,False,False,"This is a high-energy electronic music piece featuring fast-paced beats, repeated vocal samples, and scratching effects. It is reminiscent of music from the 2000s and would be perfect for car racing video games or themed parties set in that era."
-EVRXQpt1-8,50,60,"/m/01swy6,/m/04rlf,/t/dd00126","['oriental/ballad', 'guitar like instrumental', 'bass', 'male voice singing', 'female backing voice singing', 'sad', 'slow tempo', 'harp']","Someone is playing a guitar-like instrument in a tremolo fashion along with someone playing a melody on a harp along with a bass playing the root note. A male voice is singing, sounding sad and sensitive. A backing voice that seems to be female is singing along, providing harmonies. This song may be playing in a dance performance.",6,False,True,"A melancholic ballad featuring a blend of acoustic and electric guitars alongside a harp, with a male vocalist delivering emotive lyrics. The melancholic atmosphere and instrumental arrangement suggest a potential use in a contemporary dance performance."
-FEPOSP7ay0,260,270,/m/0395lw,"['loud bells impacts', 'metallic squeaking sound', 'low quality', 'mono', 'noisy']",The low quality recording features loud bells and metallic squeaking sounds. The recording is mono and noisy.,4,False,False,This is a piece with dissonant bell tones and metallic screeches that creates a cacophony of noise. The sound is monophonic and clashes with harsh harmonies.
-FFx68qSAuY,190,200,"/m/026t6,/m/02hnl,/m/02k_mr,/m/03t3fj,/m/06rvn,/m/0bm02,/m/0l14md","['punk rock', 'gothic rock', 'male vocals', 'grunt-like singing', 'electric guitar', 'bass guitar', 'acoustic guitar', 'hard-hitting', 'aggressive']",This is a punk rock music piece. There are male vocals singing in a grunt-like manner. The melody is being played by an electric guitar while a bass guitar plays in the background. The rhythm consists of a slightly fast-paced rock acoustic drum beat. The piece has an aggressive atmosphere. It could be used in the soundtrack of an action-filled video game.,9,False,False,"A furious punk rock piece characterized by aggressive male vocals, distorted electric guitar riffs, and a fast-paced drumming rhythm. The raw energy and intensity of the composition evoke a rebellious and confrontational atmosphere, suitable for high-octane action sequences in video games or films."
-FlvaZQOr2I,90,100,"/m/04rlf,/t/dd00037","['building suspense', 'cartoon show soundtrack', 'story telling', 'tense harmony', 'drumming rolls', 'poor audio quality', 'instrumental music', 'medium tempo', 'suspense', 'mystery', 'string section harmony', 'animated show', 'horns playing to a crescendo', 'poor audio quality', 'low bass thumps']","The song is an instrumental. The song is medium tempo, with a horn and string section and a drum section playing to a crescendo, followed by a low frequency thumping rhythm. The song is an instrumental soundtrack for an animated show. The audio quality is poor.",1,False,False,"This is an orchestral cartoon music piece. The arrangement includes a brass section playing the main melody, accompanied by a string section providing harmonies. The percussion section consists of various drums, including a snare drum and bass drum, creating a lively and energetic rhythm. The piece features a driving beat that keeps the tempo upbeat and engaging, making it suitable for a cartoon soundtrack."
-Gf4Ihv1zwc,50,60,"/m/04rlf,/t/dd00034","['christmas', 'festive', 'celtic', 'female vocal', 'melodic singing', 'strings', 'piano', 'harp', 'dulcimer', 'calming', 'positive']",This is a Christmas music piece with heavy influences from Celtic music. There is a female vocalist singing melodically as the lead. The melodic background is provided by the strings and the piano and at the same time Celtic instruments that resemble a harp and a dulcimer. There is a calming and positive aura to this piece. It could be playing in the background at a Christmas party. It could also be used in Christmas-themed shows or social media content.,9,False,True,"A festive Celtic music piece with a female vocal singing melodically. The song features traditional Celtic instruments such as a harp, fiddle, and bodhrán. The tempo is lively and the melody is cheerful, making it ideal for a holiday celebration or Christmas party."
-IZbvEO9wzU,30,40,"/m/04rlf,/t/dd00004,/t/dd00005","['jingle', 'chipmunk vocal', 'transposed instruments', 'piano', 'electronic drums', 'high pitch', 'irritating', 'poor quality', 'bizarre']",This is a heavily edited version of a birthday song. The track has been transposed to make the original vocal sound like a little girl which resulted in a chipmunk vocal effect. The piano playing the melody and the electronic drum beat is at an irritatingly higher pitch than normal. This creates a bizarre atmosphere. It could be used in nightmare sequences in video games or TV shows.,9,False,True,"A eerie rendition of a celebratory tune with a treble piano melody and percussive elements, ideal for unsettling video game environments."
-JVWfFPBl84,330,340,/m/0l14t7,"['low quality audio', 'tibetan singing bowl', 'animal sounds', 'no other instruments', 'no voices', 'instrumental', 'meditation music']","This audio clip features the sound produced at a particular frequency by a Tibetan singing bowl. This produces a continuous ringing sound. Toward the end of the clip, some other animal sounds can be heard. There are no other instruments in this song. This song can be played at a meditation center.",0,False,False,"This ambient music piece features a serene bell-like sound that evokes a meditative atmosphere. Towards the end of the composition, subtle animal noises are introduced, adding a touch of tranquility and nature to the overall experience."
-JvB5AL59fM,30,40,"/m/04rlf,/m/06j6l,/t/dd00031,/t/dd00035","['rock', 'e-guitars', 'e-bass', 'acoustic drums', 'keys', 'female voice singing', 'male backing voice', 'uptempo']",An acoustic drum is playing a simple rock groove with some drum fills on the toms and snare along with a distorted e-bass and e-guitar playing the same line. Panned to the right side of the speaker you can hear a piano sound playing a little melody. A female voice is singing a happy sounding melody while male backing voices are supporting her. This song may be playing sitting in your room enjoying being at home alone.,6,False,True,"An upbeat rock composition featuring a drum kit, electric guitar, piano, and a female vocalist. The arrangement is dynamic, with a catchy guitar riff, energetic drumming, and melodic piano accompaniment. The vocal delivery is expressive and engaging, adding depth to the overall sound. This piece exudes a sense of joy and would be well-suited for personal listening in a cozy home environment."
-M-6VinyMiY,30,40,"/m/04rlf,/t/dd00033","['low quality', 'rock', 'flat male vocal', 'groovy bass guitar', 'sustained electric guitar melody', 'arpeggiated electric guitar melody', 'snappy rimshot', 'soft kick', 'shimmering hi hats', 'easygoing', 'emotional']","The low quality recording features a rock song that consists of flat male vocal singing over sustained and arpeggiated electric guitar melodies, followed by snappy rimshots, soft kick, shimmering hi hats and groovy bass guitar. It sounds emotional and easygoing.",4,False,False,"This rock music piece features a male vocalist delivering emotive vocals over intricate guitar melodies and a dynamic bass line. The composition exudes a sense of passion and intensity, making it suitable for a high-energy performance or inclusion in a dramatic film soundtrack."
-M6K3QoHh40,30,40,"/m/04rlf,/m/07qv_x_","['low quality', 'r&b', 'boomy', 'passionate male vocal', 'claps', 'shimmering hi hats', 'groovy bass', 'noisy', 'passionate', 'speaker', 'reverberant', '4 on the floor kick']","The low quality recording features a R&B song playing on a speaker, judging by the reverberant and boomy sound of it. The song consists of passionate male vocal singing over shimmering hi hats, claps, groovy bass and ""4 on the floor"" kick pattern, It sounds passionate, like something you would dance to with your partner.",4,False,True,"A danceable R&B track with a male vocalist performing over a prominent '4 on the floor' drum pattern. The song features shimmering hi-hats, claps, a groovy bassline, and an energetic kick pattern. It exudes passion and is suitable for partner dancing."
-NmjCyqIavI,30,40,"/m/02cz_7,/m/04rlf,/m/0y4f8","['amateur recording', 'beatboxing', 'female voice', 'funny', 'comedic']",This is an amateur recording of a female voice beatboxing. It is a funny recording. It could be playing in the background of comedic social media content.,9,False,False,"A vocal performance featuring vocal percussion and mouth sounds, designed for comedic content creation."
-O9mnfC61Ac,0,10,/m/01lyv,"['country music', 'fiddle', 'acoustic guitar', 'electric guitar', 'gentle playing', 'slow tempo', 'easygoing', 'sentimental', 'longing']","This is a country music piece. There is a fiddle playing the main melody. The acoustic guitar and the electric guitar are playing gently in the background. The song has a slow tempo. The atmosphere is sentimental. This piece can be used in the soundtrack of an American drama movie, especially during the scenes where the feeling of longing is emphasized.",9,False,False,This country music piece is performed in a somber mood with a prominent fiddle and acoustic guitar. The track evokes deep emotions and would be fitting for poignant moments in a movie soundtrack.
-OAyRsvFGgc,30,40,"/m/01glhc,/m/02sgy,/m/0342h,/m/03lty,/m/04rlf,/m/0g12c5","['low quality', 'noisy', 'cover', 'rock', 'electric guitar solo melody', 'playback instrumental', 'punchy snare', 'punchy kick', 'smooth bass', 'soft cymbals', 'passionate', 'muffled']","The low quality recording features a cover of a rock song that consists of an electric guitar solo melody played over playback instrumental. The instrumental features a punchy kick and snare hits, soft cymbals and smooth bass. It sounds passionate, even though the recording is muffled and noisy, as it was probably recorded with a phone.",4,False,True,"A rock music piece featuring an electric guitar solo with accompaniment from drums and bass. The recording quality is low, resulting in a muffled sound, indicating it was likely recorded using a mobile phone."
-OUIEnuNd1I,30,40,"/m/04rlf,/m/04wptg","['classical', 'baroque', 'canon', 'single instrument', 'instrumental', 'harp', 'catchy', 'iconic', 'calming', 'hopeful', 'positive', 'wedding music']",This is a classical music piece belonging to the baroque period. The piece is being performed with a harp. There is a catchy tune being played with a positive aura. This piece could suit well as wedding music. It could be used in the soundtrack of a documentary. It could also be playing in the background of a classy restaurant or a museum.,9,False,True,"A classical composition reminiscent of the Baroque era, featuring a solo harp performing a tranquil and intricate melody akin to the works of Johann Sebastian Bach. This piece exudes elegance and sophistication, making it suitable for various settings such as weddings, documentaries, upscale dining establishments, or cultural institutions."
-Q9MTRXS4bE,30,40,"/m/024dl,/m/04rlf","['instrumental', 'fast tempo', 'happy', 'perky', 'punchy', 'background sounds super imposed by music', 'digital pads', 'lively', 'synthesised violins', 'upbeat', 'synthesiser arrangements', 'lively piano harmony', 'punchy digital drum rhythm', 'sound of beeping', 'funky bass line', 'tapping']","This music is a spirited instrumental. The tempo is fast with an animated Piano harmony, synthesiser  arrangements, synthesised violins, rhythmic digital drums, funky bass lines and electronic sounds. The music is superimposed over sounds of tapping and rhythmic beeping. The music is happy, perky, upbeat, enthusiastic, lively and spirited.",7,False,True,"A fast-paced instrumental track with a lively piano melody, groovy bassline, and electronic drum beats. The music exudes a cheerful and energetic vibe with its combination of acoustic and digital elements."
-QuWdnmn-kM,30,40,"/m/04rlf,/m/0fd3y","['sustained piano synth', 'lullaby', 'bright xylophone', 'mellow mellody', 'bass guitar', 'dreamy', 'kids music', 'slow tempo', 'nostalgic', 'cello', 'no vocals', 'sleepy']",This is a lullaby that features a main melody made with a xylophone that has a bright sound. A sustained piano synth creates a dreamy and sleepy ambience sound. A subtle cello plays single chords that bounce from one beat to the next. This is a song a baby could fall asleep to.,5,False,True,"A lullaby composition in a relaxed tempo, featuring a xylophone offering a delicate, dreamy melody accompanied by a soothing piano, ideal for creating a tranquil ambiance conducive to sleep."
-R0267o4lLk,60,70,"/m/0239kh,/m/026t6,/m/02hnl,/m/02k_mr,/m/03t3fj,/m/06rvn,/m/0bm02,/m/0l14md","['latin percussion', 'complex rhythms', 'medium to uptempo']",You can hear two people playing various percussive instruments. One is holding the same beat playing on congas while the other is playing a solo changing rhythms and percussive sounds in a complex manner. This song may be playing live demonstrating a solo run.,6,False,False,"A percussive duet featuring congas, with one musician maintaining a consistent beat while the other showcases improvisational skills with varied rhythms and sounds. The performance exudes a live and dynamic essence, emphasizing individual virtuosity."
-RYtUAsNhF0,30,40,"/m/01jnbd,/m/02v2lh,/m/04rlf","['poor quality', 'no singer', 'instrumental', 'piano', 'strings', 'acoustic guitar', 'gentle', 'mellow', 'optimistic']","This is a poor quality instrumental piece played in the background of a sign language video. There is an optimistic sounding tune being played by the strings, the piano and the acoustic guitar. The atmosphere is mellow and gentle. Samples from this piece could be lifted to be used in beat-making.",9,False,True,"This is an instrumental piece with a blend of string sections, piano, and acoustic guitar. It carries a gentle and uplifting tone, making it a suitable choice for a sign language video. The composition also offers potential for beat-making with its positive vibes."
-SD43H5B5hE,520,530,"/m/01jg02,/m/01jg1z,/m/04rlf","['soundeffects', 'cinematic', 'amateur recording']",There is a low sound that reminds of a heartbeat rising in tempo before a splash-like metallic sound with reverb comes in and breaks the atmosphere in half. This audio may be used for a movie scene. This audio is in poor quality.,6,False,True,"A cinematic sound effect sequence is initiated with a gradual increase in a low-frequency heartbeat-like sound, leading up to a resonant metallic impact and reverberation effect. This audio clip, although of substandard quality, is ideal for enhancing the suspense and intensity in a film scene."
